Customer Code,# of Receivers,Profit per Receiver,Profit per Receiver Bucket,# of PPV Orders (last 12 Months),Profit per PPV order,Profit per PPV order Bucket,DVR Service,DVR Service Profit,DVR Service Profit Bucket,HD Programming Service,HD Service Profit,HD Service Profit Bucket,Total Profit,Total Profit Buckets,Responder Rating,Est. Mortgage Loan Amount,Dwelling Type,Photography,Gardening,Cooking,Gourmet Food,Home Business,Readers,New Age,Upscale,Computer,Age,Marital Status,Education,Household Income,Gender,Homeowner,Number of Total Rooms,Customer Count,Age Group,Dwelling Type Details,Education Status Details,Cluster
42,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,97771,2,0,1,1,1,1,1,1,0,1,32,0,1,8000,0,0,6.5,1,25-34,Single Family,High School,1
43,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,97771,4,0,0,0,0,0,0,0,0,0,53,0,1,8000,0,0,6.44,1,45-54,Unknown,High School,1
44,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,97771,2,0,0,0,0,0,0,0,1,0,40,0,1,8000,0,0,6.09,1,35-44,Single Family,High School,1
45,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,97771,3,0,0,0,0,0,0,0,0,0,58,0,1,8000,0,0,5.28,1,55-69,Condo,High School,1
46,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,113063,2,0,0,0,1,0,0,1,0,1,21,1,1,8000,0,0,5.75,1,18-24,Single Family,High School,1
47,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,102869,2,0,0,0,0,0,1,0,0,1,41,1,1,8000,0,0,7,1,35-44,Single Family,High School,1
48,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,97771,2,0,0,0,0,0,0,0,1,1,46,0,2,8000,0,0,7.5,1,45-54,Single Family,Some College,1
49,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,101070,3,0,0,0,0,0,0,0,0,0,52,0,3,8000,0,1,5,1,45-54,Condo,Completed College,1
50,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,120709,4,0,0,0,0,0,0,0,0,0,22,0,3,20000,0,0,6,1,18-24,Unknown,Completed College,1
51,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,84682,2,0,0,0,0,0,0,0,1,0,48,0,3,20000,0,0,7,1,45-54,Single Family,Completed College,1
52,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,97771,4,0,0,0,0,0,0,0,0,0,81,1,3,20000,0,0,4,1,70-Above,Unknown,Completed College,1
53,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,97060,2,0,0,0,0,1,1,0,1,0,37,1,1,20000,0,0,4.75,1,35-44,Single Family,High School,1
54,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,112405,4,0,0,0,0,1,1,0,0,0,63,0,4,20000,0,1,5.73,1,55-69,Unknown,Graduate School,1
55,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,1,97771,2,0,0,0,0,0,0,0,0,0,43,0,1,20000,0,0,7,1,35-44,Single Family,High School,1
56,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,4,105417,4,0,1,1,0,1,1,0,0,1,73,0,1,20000,0,0,5,1,70-Above,Unknown,High School,1
57,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,100320,4,0,0,0,0,0,0,0,1,1,62,0,1,20000,0,0,6.77,1,55-69,Unknown,High School,1
58,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,175808,2,0,0,0,0,0,0,0,0,1,32,0,3,20000,0,1,7.75,1,25-34,Single Family,Completed College,1
59,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,1,120709,4,0,1,1,1,0,1,1,0,1,57,0,2,20000,0,0,8,1,55-69,Unknown,Some College,1
60,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,115612,4,0,0,0,0,0,0,0,0,0,33,1,1,20000,0,0,8,1,25-34,Unknown,High School,1
61,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,1,85816,2,0,0,0,0,0,0,0,1,0,70,1,1,20000,0,0,4,1,70-Above,Single Family,High School,1
62,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,1,100320,4,0,0,0,0,0,1,0,0,0,59,1,1,20000,0,1,4.83,1,55-69,Unknown,High School,1
63,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,105417,2,0,1,1,0,1,1,0,0,0,37,1,1,20000,0,0,5,1,35-44,Single Family,High School,1
64,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,107966,4,0,0,0,0,0,0,0,0,0,58,0,2,20000,0,0,5,1,55-69,Unknown,Some College,1
65,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,97771,2,0,0,0,0,0,0,0,0,0,38,0,1,20000,0,0,5,1,35-44,Single Family,High School,1
66,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,100320,2,0,0,0,0,0,0,0,0,0,46,0,1,20000,0,0,6.98,1,45-54,Single Family,High School,1
67,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,118000,2,0,0,0,0,0,0,0,0,0,45,1,2,20000,0,0,5.91,1,45-54,Single Family,Some College,1
68,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,104807,2,0,0,0,0,0,0,0,0,1,61,0,1,20000,0,1,6,1,55-69,Single Family,High School,1
69,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,118161,2,1,0,0,0,0,1,0,1,0,93,1,1,20000,0,0,6,1,70-Above,Single Family,High School,1
70,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,113063,3,0,0,0,0,0,0,0,0,0,32,0,2,20000,0,0,10,1,25-34,Condo,Some College,1
71,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,113063,4,0,0,0,0,0,0,0,0,0,65,0,1,20000,0,0,7.28,1,55-69,Unknown,High School,1
72,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,1,97771,2,0,0,0,0,0,0,0,0,0,32,0,1,20000,0,0,5,1,25-34,Single Family,High School,1
73,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,110515,2,0,0,0,0,0,0,0,0,0,32,0,3,20000,0,0,6.26,1,25-34,Single Family,Completed College,1
74,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,135267,2,0,0,0,1,0,0,1,1,0,93,0,1,20000,0,0,6.8,1,70-Above,Single Family,High School,1
75,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,113063,4,1,0,0,0,0,1,0,0,1,63,0,3,20000,0,0,8,1,55-69,Unknown,Completed College,1
76,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,113063,4,0,0,0,0,0,0,0,0,1,62,0,1,20000,0,1,8,1,55-69,Unknown,High School,1
77,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,113063,2,0,0,0,0,0,0,0,0,1,69,1,1,20000,0,0,8.75,1,55-69,Single Family,High School,1
78,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,99165,2,0,0,0,0,1,0,0,0,0,42,0,3,20000,0,0,4.44,1,35-44,Single Family,Completed College,1
79,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,113063,2,0,0,0,0,0,0,0,0,0,34,1,1,20000,0,0,7,1,25-34,Single Family,High School,1
80,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,115612,4,0,0,0,0,0,0,0,0,0,34,0,2,20000,0,1,11,1,25-34,Unknown,Some College,1
81,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,4,75883,2,0,0,0,1,0,1,1,1,0,51,0,1,30000,0,0,6,1,45-54,Single Family,High School,1
82,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,107966,2,0,1,0,0,0,1,0,0,0,64,1,1,30000,0,1,2,1,55-69,Single Family,High School,1
83,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,4,110515,4,0,0,0,0,1,1,0,0,1,66,0,1,30000,0,0,5.57,1,55-69,Unknown,High School,1
84,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,115612,4,0,0,0,0,0,0,0,0,0,25,0,3,30000,0,0,6.5,1,25-34,Unknown,Completed College,1
85,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,120709,4,0,0,0,0,1,0,0,0,0,35,0,3,30000,0,0,8.67,1,35-44,Unknown,Completed College,1
86,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,99493,2,0,1,1,0,1,1,0,0,1,50,1,1,30000,0,1,4,1,45-54,Single Family,High School,1
